   LOG10(FN) FN  Magnitudes: Lamda11, Lamda22 ...
   2.1248666          133.31117         0.28980400E-09
   2.1311676          135.25944         0.29808951E-09
   2.1374686          137.23618         0.30661179E-09
   2.1437696          139.24180         0.31537762E-09
   2.1500707          141.27674         0.32439395E-09
   2.1563717          143.34142         0.33366797E-09
   2.1626727          145.43627         0.34320703E-09
   2.1689738          147.56174         0.35301872E-09
   2.1752748          149.71827         0.36311084E-09
   2.1815758          151.90631         0.37349142E-09
   2.1878769          154.12634         0.38416871E-09
   2.1941779          156.37880         0.39515120E-09
   2.2004789          158.66419         0.40644762E-09
   2.2067799          160.98297         0.41806695E-09
   2.2130810          163.33565         0.43001844E-09
   2.2193820          165.72270         0.44231160E-09
   2.2256830          168.14464         0.45495619E-09
   2.2319841          170.60198         0.46796227E-09
   2.2382851          173.09523         0.48134019E-09
   2.2445861          175.62491         0.49510059E-09
   2.2508872          178.19157         0.50925441E-09
   2.2571882          180.79574         0.52381291E-09
   2.2634892          183.43796         0.53878767E-09
   2.2697902          186.11880         0.55419060E-09
   2.2760913          188.83882         0.57003395E-09
   2.2823923          191.59859         0.58633033E-09
   2.2886933          194.39869         0.60309269E-09
   2.2949944          197.23971         0.62033437E-09
   2.3012954          200.12226         0.63806908E-09
   2.3075964          203.04693         0.65631093E-09
   2.3138975          206.01434         0.67507442E-09
   2.3201985          209.02512         0.69437449E-09
   2.3264995          212.07990         0.71422647E-09
   2.3328005          215.17933         0.73464616E-09
   2.3391016          218.32405         0.75564980E-09
   2.3454026          221.51473         0.77725409E-09
   2.3517036          224.75203         0.79947621E-09
   2.3580047          228.03666         0.82233384E-09
   2.3643057          231.36928         0.84584514E-09
   2.3706067          234.75061         0.87002883E-09
   2.3769078          238.18135         0.89490411E-09
   2.3832088          241.66223         0.92049078E-09
   2.3895098          245.19399         0.94680918E-09
   2.3958108          248.77735         0.97388023E-09
   2.4021119          252.41309         0.10017255E-08
   2.4084129          256.10196         0.10303670E-08
   2.4147139          259.84474         0.10598276E-08
   2.4210150          263.64222         0.10901307E-08
   2.4273160          267.49520         0.11213004E-08
   2.4336170          271.40449         0.11533615E-08
   2.4399181          275.37091         0.11863394E-08
   2.4462191          279.39529         0.12202604E-08
   2.4525201          283.47849         0.12551514E-08
   2.4588211          287.62136         0.12910401E-08
   2.4651222          291.82478         0.13279551E-08
   2.4714232          296.08963         0.13659257E-08
   2.4777242          300.41681         0.14049821E-08
   2.4840253          304.80723         0.14451553E-08
   2.4903263          309.26181         0.14864772E-08
   2.4966273          313.78149         0.15289806E-08
   2.5029284          318.36723         0.15726994E-08
   2.5092294          323.01998         0.16176683E-08
   2.5155304          327.74073         0.16639229E-08
   2.5218314          332.53047         0.17115001E-08
   2.5281325          337.39021         0.17604376E-08
   2.5344335          342.32097         0.18107743E-08
   2.5407345          347.32379         0.18625502E-08
   2.5470356          352.39973         0.19158064E-08
   2.5533366          357.54984         0.19705853E-08
   2.5596376          362.77523         0.20269302E-08
   2.5659387          368.07698         0.20848860E-08
   2.5722397          373.45621         0.21444987E-08
