   LOG10(FN) FN  Magnitudes: Y11, Y12 ... Y21, Y22 ... [mhos]
   3.4354808          2725.7172         0.34414910E-05
   3.4417818          2765.5520         0.34917864E-05
   3.4480829          2805.9689         0.35428169E-05
   3.4543839          2846.9765         0.35945931E-05
   3.4606849          2888.5834         0.36471260E-05
   3.4669859          2930.7984         0.37004266E-05
   3.4732870          2973.6303         0.37545062E-05
   3.4795880          3017.0882         0.38093761E-05
   3.4858890          3061.1812         0.38650479E-05
   3.4921901          3105.9185         0.39215334E-05
   3.4984911          3151.3097         0.39788443E-05
   3.5047921          3197.3643         0.40369928E-05
   3.5110932          3244.0919         0.40959911E-05
   3.5173942          3291.5024         0.41558516E-05
   3.5236952          3339.6058         0.42165870E-05
   3.5299962          3388.4122         0.42782099E-05
   3.5362973          3437.9319         0.43407335E-05
   3.5425983          3488.1753         0.44041708E-05
   3.5488993          3539.1529         0.44685352E-05
   3.5552004          3590.8756         0.45338402E-05
   3.5615014          3643.3542         0.46000997E-05
   3.5678024          3696.5997         0.46673275E-05
   3.5741035          3750.6233         0.47355377E-05
   3.5804045          3805.4365         0.48047449E-05
   3.5867055          3861.0508         0.48749634E-05
   3.5930065          3917.4778         0.49462082E-05
   3.5993076          3974.7294         0.50184942E-05
   3.6056086          4032.8178         0.50918365E-05
   3.6119096          4091.7551         0.51662508E-05
   3.6182107          4151.5537         0.52417525E-05
   3.6245117          4212.2263         0.53183577E-05
   3.6308127          4273.7855         0.53960824E-05
   3.6371138          4336.2444         0.54749430E-05
   3.6434148          4399.6161         0.55549561E-05
   3.6497158          4463.9139         0.56361386E-05
   3.6560168          4529.1514         0.57185075E-05
   3.6623179          4595.3424         0.58020801E-05
   3.6686189          4662.5006         0.58868742E-05
