   LOG10(FN) FN  Calc. Arg.: Z11, Z12 ... Z21, Z22 ... [deg]
   3.4921901          3105.9185          84.388428    
   3.4984911          3151.3097          84.384218    
   3.5047921          3197.3643          84.379984    
   3.5110932          3244.0919          84.375724    
   3.5173942          3291.5024          84.371439    
   3.5236952          3339.6058          84.367129    
   3.5299962          3388.4122          84.362793    
   3.5362973          3437.9319          84.358432    
   3.5425983          3488.1753          84.354046    
   3.5488993          3539.1529          84.349635    
   3.5552004          3590.8756          84.345198    
   3.5615014          3643.3542          84.340737    
   3.5678024          3696.5997          84.336250    
   3.5741035          3750.6233          84.331738    
   3.5804045          3805.4365          84.327200    
   3.5867055          3861.0508          84.322637    
   3.5930065          3917.4778          84.318049    
   3.5993076          3974.7294          84.313436    
   3.6056086          4032.8178          84.308797    
   3.6119096          4091.7551          84.304134    
   3.6182107          4151.5537          84.299444    
   3.6245117          4212.2263          84.294730    
   3.6308127          4273.7855          84.289990    
   3.6371138          4336.2444          84.285225    
   3.6434148          4399.6161          84.280434    
   3.6497158          4463.9139          84.275618    
   3.6560168          4529.1514          84.270777    
   3.6623179          4595.3424          84.265910    
   3.6686189          4662.5006          84.261018    
   3.6749199          4730.6403          84.256100    
   3.6812210          4799.7759          84.251157    
   3.6875220          4869.9218          84.246188    
   3.6938230          4941.0929          84.241194    
   3.7001241          5013.3041          84.236174    
   3.7064251          5086.5707          84.231129    
   3.7127261          5160.9079          84.226057    
   3.7190271          5236.3316          84.220961    
   3.7253282          5312.8575          84.215838    
   3.7316292          5390.5019          84.210690    
   3.7379302          5469.2809          84.205516    
   3.7442313          5549.2113          84.200316    
   3.7505323          5630.3098          84.195091    
   3.7568333          5712.5935          84.189839    
   3.7631344          5796.0797          84.184562    
   3.7694354          5880.7861          84.179258    
   3.7757364          5966.7303          84.173929    
   3.7820374          6053.9306          84.168573    
   3.7883385          6142.4053          84.163192    
   3.7946395          6232.1730          84.157784    
   3.8009405          6323.2526          84.152350    
   3.8072416          6415.6633          84.146890    
   3.8135426          6509.4245          84.141404    
   3.8198436          6604.5559          84.135891    
   3.8261447          6701.0777          84.130352    
   3.8324457          6799.0100          84.124786    
   3.8387467          6898.3736          84.119194    
   3.8450477          6999.1893          84.113575    
   3.8513488          7101.4784          84.107930    
   3.8576498          7205.2624          84.102258    
   3.8639508          7310.5631          84.096559    
   3.8702519          7417.4028          84.090834    
   3.8765529          7525.8038          84.085082    
   3.8828539          7635.7890          84.079302    
   3.8891550          7747.3817          84.073496    
   3.8954560          7860.6051          84.067663    
   3.9017570          7975.4833          84.061802    
   3.9080580          8092.0404          84.055915    
   3.9143591          8210.3009          84.050000    
   3.9206601          8330.2896          84.044057    
   3.9269611          8452.0320          84.038088    
   3.9332622          8575.5535          84.032091    
   3.9395632          8700.8802          84.026066    
   3.9458642          8828.0386          84.020013    
   3.9521653          8957.0552          84.013933    
   3.9584663          9087.9574          84.007826    
   3.9647673          9220.7726          84.001690    
   3.9710683          9355.5288          83.995526    
   3.9773694          9492.2544          83.989334    
   3.9836704          9630.9782          83.983115    
   3.9899714          9771.7294          83.976867    
   3.9962725          9914.5375          83.970590    
   4.0025735          10059.433          83.964286    
   4.0088745          10206.446          83.957953    
   4.0151756          10355.607          83.951591    
   4.0214766          10506.948          83.945201    
   4.0277776          10660.501          83.938782    
   4.0340786          10816.298          83.932334    
   4.0403797          10974.372          83.925857    
   4.0466807          11134.756          83.919352    
   4.0529817          11297.484          83.912817    
   4.0592828          11462.590          83.906253    
   4.0655838          11630.109          83.899660    
   4.0718848          11800.076          83.893037    
   4.0781859          11972.528          83.886385    
   4.0844869          12147.499          83.879704    
   4.0907879          12325.028          83.872993    
   4.0970889          12505.151          83.866252    
   4.1033900          12687.907          83.859481    
   4.1096910          12873.333          83.852680    
   4.1159920          13061.469          83.845850    
   4.1222931          13252.355          83.838989    
   4.1285941          13446.030          83.832098    
   4.1348951          13642.536          83.825176    
   4.1411962          13841.914          83.818224    
   4.1474972          14044.206          83.811242    
   4.1537982          14249.454          83.804229    
   4.1600992          14457.701          83.797185    
   4.1664003          14668.992          83.790111    
   4.1727013          14883.371          83.783005    
   4.1790023          15100.883          83.775868    
   4.1853034          15321.573          83.768701    
   4.1916044          15545.489          83.761501    
   4.1979054          15772.677          83.754271    
   4.2042065          16003.186          83.747009    
   4.2105075          16237.063          83.739716    
   4.2168085          16474.358          83.732390    
   4.2231095          16715.122          83.725034    
   4.2294106          16959.403          83.717645    
   4.2357116          17207.255          83.710224    
   4.2420126          17458.729          83.702771    
   4.2483137          17713.878          83.695285    
   4.2546147          17972.757          83.687768    
   4.2609157          18235.418          83.680218    
   4.2672168          18501.918          83.672635    
   4.2735178          18772.313          83.665020    
   4.2798188          19046.659          83.657372    
   4.2861198          19325.015          83.649691    
   4.2924209          19607.439          83.641977    
   4.2987219          19893.990          83.634230    
   4.3050229          20184.729          83.626450    
   4.3113240          20479.717          83.618636    
   4.3176250          20779.017          83.610789    
