   LOG10(FN) FN  Calc. Mag.: Z11, Z12 ... Z21, Z22 ... [ohms]
   3.5425983          3488.1753         0.37251539E-01
   3.5488993          3539.1529         0.37762166E-01
   3.5552004          3590.8756         0.38279765E-01
   3.5615014          3643.3542         0.38804431E-01
   3.5678024          3696.5997         0.39336259E-01
   3.5741035          3750.6233         0.39875348E-01
   3.5804045          3805.4365         0.40421796E-01
   3.5867055          3861.0508         0.40975702E-01
   3.5930065          3917.4778         0.41537168E-01
   3.5993076          3974.7294         0.42106296E-01
   3.6056086          4032.8178         0.42683190E-01
   3.6119096          4091.7551         0.43267957E-01
   3.6182107          4151.5537         0.43860702E-01
   3.6245117          4212.2263         0.44461534E-01
   3.6308127          4273.7855         0.45070563E-01
   3.6371138          4336.2444         0.45687899E-01
   3.6434148          4399.6161         0.46313656E-01
   3.6497158          4463.9139         0.46947948E-01
   3.6560168          4529.1514         0.47590891E-01
   3.6623179          4595.3424         0.48242601E-01
   3.6686189          4662.5006         0.48903198E-01
